id,name,structure_fit,description,segments,burst_events,notes
WT01,개방 표준,open,"기본 스트림 + 3분마다 폭발 웨이브","0-0.05:rate0.4:stream:M1|0.05-0.2:rate0.7:stream:M1+M2|0.2-0.5:rate1.0:stream:M1+M2+M3|0.5-0.75:rate1.3:stream:ALL|0.75-0.87:rate1.5:stream:ALL|0.87-1.0:rate1.0:stream:ALL","0.07:ring:M1x12|0.2:line:M2x20|0.4:ring:M1x40|0.6:ring:ALLx60|0.8:ring:ALLx90","M1..M6 = chapters.enemy_mix 순서. ALL = 혼합. rate = density × 초당 생성 수. ring = 시야 밖 원형, line = 한 방향 일렬"
WT02,통로 압박,corridor,"양 끝 통로에서 번갈아 밀려오는 스트림; 후방 궁수","0-0.05:rate0.4:front:M1|0.05-0.25:rate0.8:alt:M1+M2|0.25-0.5:rate1.1:alt:M1+M2+M3|0.5-0.8:rate1.4:both:ALL|0.8-1.0:rate1.2:both:ALL","0.1:line:M1x15|0.3:line:M3x25|0.5:both_lines:ALLx40|0.7:both_lines:ALLx60|0.9:both_lines:ALLx80","front = 진행 방향, alt = 앞/뒤 교대 30s, both = 동시. 궁수형(M4)은 항상 후방"
WT03,경기장 사방,arena,"스폰 포인트 8곳 순환; 축소 시 포인트 6곳","0-0.05:rate0.4:pts2:M1|0.05-0.25:rate0.8:pts4:M1+M2|0.25-0.5:rate1.1:pts6:M1+M2+M3|0.5-0.8:rate1.4:pts8:ALL|0.8-1.0:rate1.3:pts8:ALL","0.12:all_pts:M1x24|0.35:all_pts:M2x32|0.55:all_pts:ALLx48|0.75:all_pts:ALLx64|0.9:all_pts:ALLx80","지원형(M4) 은 pts 반대편에 배치되어 우선 처치 동선 강제"
WT04,경로 추격,path,"안전 구역 이동 시점마다 후방 대군 + 전방 매복","0-0.05:rate0.4:behind:M1|0.05-0.3:rate0.9:behind:M1+M2|0.3-0.6:rate1.2:behind+ambush:ALL|0.6-0.85:rate1.5:behind+ambush:ALL|0.85-1.0:rate1.2:behind:ALL","bridge_move:ambush:M3x20|0.25:behind:M1x30|0.5:behind:ALLx50|0.75:behind:ALLx70","bridge_move/oasis_move 파라미터 시점마다 ambush 발생. behind = 진행 반대편"
WT05,포위 협공,open,"포위형 적이 좌우 협공, 정면은 비움","0-0.05:rate0.4:stream:M1|0.05-0.3:rate0.8:flank:M1+M2|0.3-0.6:rate1.1:flank:ALL|0.6-0.85:rate1.4:flank+ring:ALL|0.85-1.0:rate1.2:ring:ALL","0.15:flank:M2x16|0.35:flank:M3x24|0.55:ring:ALLx48|0.7:flank:M2x40|0.9:ring:ALLx90","flank = ±60° 양측 동시. surround 태그 적은 flank 전용"
WT06,원거리 혼합,corridor/open,"근접 스트림 + 원거리 사수 고정 배치","0-0.05:rate0.4:stream:M1|0.05-0.3:rate0.8:stream+ranged:M1+M2|0.3-0.6:rate1.1:stream+ranged:ALL|0.6-0.85:rate1.4:stream+ranged:ALL|0.85-1.0:rate1.2:stream:ALL","0.1:ranged_ring:M3x6|0.3:ranged_ring:M3x10|0.5:ring:ALLx50|0.7:ranged_ring:M3x14|0.9:ring:ALLx80","ranged 태그 적은 6u 링에 배치 후 정지 사격"
WT07,분열 대군,any,"분열형 적 중심, 처치가 곧 위협이 되는 웨이브","0-0.05:rate0.4:stream:M1|0.05-0.3:rate0.7:stream:M1+M2|0.3-0.6:rate0.9:stream:ALL|0.6-0.85:rate1.1:stream:ALL|0.85-1.0:rate1.0:stream:ALL","0.15:ring:M1x20|0.35:ring:M1x35|0.55:ring:M1x50|0.75:ring:M1x70|0.9:ring:ALLx60","M1 = 분열형(EN10/EN35). rate 낮은 대신 분열 세대로 실효 개체 2~3배"
WT08,소환·지원 우선,arena,"지원형·소환형이 먼저 배치되고 잡몹이 뒤따름","0-0.05:rate0.3:pts2:M1|0.05-0.3:rate0.8:pts4:M1+M2|0.3-0.6:rate1.1:pts6:ALL|0.6-0.85:rate1.4:pts8:ALL|0.85-1.0:rate1.2:pts8:ALL","0.08:support:M4x2|0.25:support:M4x3+M1x30|0.45:support:M4x4+ALLx40|0.65:support:M4x5+ALLx60|0.85:support:M4x6+ALLx80","support = 지원형 먼저 스폰 5s 후 나머지"
WT09,돌진 다발,open,"돌진형 반복, 사이에 저체력 잡몹","0-0.05:rate0.4:stream:M1|0.05-0.3:rate0.8:stream:M1+M2|0.3-0.6:rate1.1:stream:ALL|0.6-0.85:rate1.4:stream:ALL|0.85-1.0:rate1.2:stream:ALL","0.12:dash_line:M3x8|0.3:dash_line:M3x12|0.5:dash_cross:M3x16|0.7:dash_cross:M3x20|0.9:ring:ALLx90","dash_line = 한 방향 일렬 돌진, dash_cross = 4방향 교차"
WT10,설치물·고정 포대,corridor,"고정 포대와 레일 기믹 사이로 스트림","0-0.05:rate0.4:front:M1|0.05-0.3:rate0.8:alt:M1+M2|0.3-0.6:rate1.1:alt:ALL|0.6-0.85:rate1.3:both:ALL|0.85-1.0:rate1.2:both:ALL","0.1:fixed:M1x2|0.3:fixed:M1x4+M2x25|0.5:both_lines:ALLx40|0.7:fixed:M1x6+ALLx50|0.9:both_lines:ALLx80","fixed = 고정형(EN14/EN23) 통로 교차점 배치"
