id,name,type,behavior,hp_mult,atk_mult,spd_u,radius_u,mass,xp,env_home,first_chapter,ability,counter_tip
EN01,그림자 잔해,normal,chase,1.0,1.0,2.8,0.35,1,2,ENV01,CH01,"기본 추적. 대군의 주력","범위 스킬"
EN02,황혼 들개,normal,chase,0.8,1.0,4.2,0.35,1,2,ENV01,CH01,"빠른 추적, 체력 낮음","넉백·회전형"
EN03,그림자 쥐,normal,surround,0.4,0.6,5.0,0.25,0.5,1,ENV02,CH02,"매우 작고 빠름, 포위 배치. 10마리 단위 생성","자석 범위·관통"
EN04,뒤틀린 허수아비,normal,chase,2.5,1.2,1.8,0.5,2,4,ENV01,CH02,"느리고 단단함. 넉백 저항","관통·DoT"
EN05,멧돼지 그림자,normal,dash,1.8,1.6,2.5,0.5,2,4,ENV01,CH03,"2s 예고 후 8u/s 돌진(직선 6u). 돌진 후 1.5s 경직","측면 회피 후 처치"
EN06,불꽃 나방,normal,kite,0.6,0.8,3.5,0.3,0.5,2,ENV04,CH04,"플레이어 3u 거리 유지, 접근 시 후퇴. 사망 시 0.8u 화상 장판","유도·연쇄"
EN07,가시 덤불,normal,stationary,3.0,1.0,0,0.6,999,5,ENV01,CH03,"이동 불가. 접촉 시 피해 + 출혈. 웨이브 시작 시 랜덤 배치","우회 또는 원거리"
EN08,안개 유령,normal,blink,1.2,1.2,2.0,0.4,1,4,ENV04,CH05,"4s마다 플레이어 뒤 2u로 순간이동. 이동 중 반투명(피해 -30%)","회전·장판"
EN09,그림자 궁수,normal,ranged,1.0,1.0,2.0,0.4,1,4,ENV02,CH08,"6u 거리에서 2.5s마다 화살 1발(속도 7u/s). 3u 이내 접근 시 후퇴","돌진·유도"
EN10,부서진 인형,normal,split,1.5,0.8,2.6,0.45,1,3,ENV02,CH06,"사망 시 EN03 그림자 쥐 3마리 분열","즉발 범위"
EN11,촛불 정령,normal,buff,0.9,0.5,2.4,0.35,1,4,ENV03,CH04,"반경 3u 아군 이동 속도 +20%. 우선 처치 대상(붉은 표시)","HIGHEST_HP·표식"
EN12,황혼 늑대 무리,normal,surround,1.1,1.1,3.8,0.35,1,3,ENV01,CH07,"5마리 단위, 플레이어 양옆(±60°)으로 협공","회전·장판"
EN13,폭발 균류,normal,explode,0.7,2.5,2.2,0.4,1,3,ENV04,CH05,"플레이어 1u 접근 시 1s 후 자폭(반경 1.2u). 사망 시에도 폭발","원거리에서 처치"
EN14,그림자 포수,normal,ranged,1.6,1.4,1.5,0.5,2,6,ENV05,CH12,"7u 거리에서 4s마다 포탄(착탄 예고 1s, 반경 1u)","이동 유지"
EN15,광부 잔상,normal,chase,1.3,1.1,2.6,0.4,1,3,ENV05,CH12,"곡괭이 휘두르기(전방 1u 부채꼴, 1.2s)","기본 처리"
EN16,갱도 거미,normal,trail,0.9,0.9,3.2,0.35,1,3,ENV05,CH12,"이동 궤적에 2s 거미줄(플레이어 둔화 40%)","둔화 저항·빠른 처치"
EN17,사금 정령,normal,kite,0.5,0.3,4.0,0.3,0.5,8,ENV05,CH15,"도주형. 처치 시 골드 ×5. 15s 후 소멸","유도·연쇄"
EN18,유리 도마뱀,normal,dash,1.2,1.3,3.0,0.4,1,4,ENV06,CH21,"짧은 돌진(3u, 예고 1s) 반복. 돌진 중 무적","예고 시 회피"
